name,parent_region__name,gibdd_code,ya_name,slug
Верхняя Пышма,Свердловская область,654201,Верхняя Пышма,verkhniaia-pyshma
Крестецкий район,Новгородская область,49214,Крестецкий район,krestetskii-raion
Элиста,Республика Калмыкия,80417,,elista
Тюмень,Тюменская область,71401,Тюмень,tiumen
Ашинский район,Челябинская область,75209,Ашинский район,ashinskii-raion
Березовский,Свердловская область,654121,Берёзовский,berezovskii-bq6
Ловозерский район,Мурманская область,47210,,lovozerskii-raion
Островной,Мурманская область,47531,,ostrovnoi
Колпинский район,Санкт-Петербург,40277,,kolpinskii-raion
Кировский район,Санкт-Петербург,40276,,kirovskii-raion-20c
Новоржевский район,Псковская область,58223,,novorzhevskii-raion
Порховский район,Псковская область,58247,,porkhovskii-raion
Семеновский район,Нижегородская область,22247,,semenovskii-raion
Починковский район,Нижегородская область,22246,,pochinkovskii-raion
Немский район,Кировская область,33226,,nemskii-raion
Нагорский район,Кировская область,33225,,nagorskii-raion
Березниковский район,Пермский край,86002,,bereznikovskii-raion
Уинский район,Пермский край,85998,,uinskii-raion
Северский район,Краснодарский край,3243,,severskii-raion
Абинский район,Краснодарский край,3201,,abinskii-raion
Красноперекопский,Республика Крым,8106,,krasnoperekopskii
Красногвардейский,Республика Крым,8105,,krasnogvardeiskii-svn
Калининский район,Саратовская область,63221,,kalininskii-raion
Ивантеевский район,Саратовская область,63219,,ivanteevskii-raion
Ульяновск,Ульяновская область,73401,,ulianovsk
Дмитровград,Ульяновская область,73405,,dmitrovgrad
Большечерниговский район,Самарская область,36210,,bolshechernigovskii-raion
Большеглушицкий район,Самарская область,36208,,bolsheglushitskii-raion
Городищенский район,Пензенская область,56218,,gorodishchenskii-raion
Вадинский район,Пензенская область,56215,,vadinskii-raion
Томпонский район,Республика Саха (Якутия),98250,,tomponskii-raion
Мегино-Кангаласский район,Республика Саха (Якутия),98229,,megino-kangalasskii-raion
Братский район,Иркутская область,25204,,bratskii-raion
Усть-Илимский район,Иркутская область,25242,,ust-ilimskii-raion
Каратузский район,Красноярский край,4222,,karatuzskii-raion
Казачинский район,Красноярский край,4220,,kazachinskii-raion
Нововаршавский район,Омская область,52241,,novovarshavskii-raion
Русско-Полянский район,Омская область,52250,,russko-polianskii-raion
Новосибирский район,Новосибирская область,50240,,novosibirskii-raion
Кольцово,Новосибирская область,50240552,,koltsovo
Верхнедонский район,Ростовская область,60208,,verkhnedonskii-raion
Боковский район,Ростовская область,60207,,bokovskii-raion
Белокатайский,Республика Башкортостан,80210,,belokataiskii
Белебеевский,Республика Башкортостан,80209,,belebeevskii
Каякентский район,Республика Дагестан,82224,,kaiakentskii-raion
Южно-Сухокумск,Республика Дагестан,82438,,iuzhno-sukhokumsk
Ленинск-Кузнец,Кемеровская область - Кузбасс,32419,,leninsk-kuznets
Осинники,Кемеровская область - Кузбасс,32434,,osinniki
Фокинский,Приморский край,5547,,fokinskii
Арсеньевский,Приморский край,5403,,arsenevskii
Улетовский район,Забайкальский край,76246,,uletovskii-raion
Краснокаменский район,Забайкальский край,76221,,krasnokamenskii-raion
Панкрушихинский район,Алтайский край,12311,,pankrushikhinskii-raion
Покровское-Стрешнево,Москва,45283569,Москва,pokrovskoe-streshnevo
Павловский район,Алтайский край,12301,,pavlovskii-raion-k0i
Хвастовичский район,Калужская область,29246,,khvastovichskii-raion
Переволоцкий,Оренбургская область,53237,,perevolotskii
Трубчевский район,Брянская область,15256,,trubchevskii-raion
Первомайский,Оренбургская область,53236,,pervomaiskii-f5x
Ферзиковскй район,Калужская область,29244,,ferzikovski-raion
Чухломский район,Костромская область,34246,,chukhlomskii-raion
Фрязино,Московская область,46480,Фрязино,friazino
Солигаличский район,Костромская область,34240,,soligalichskii-raion
Меленковский район,Владимирская область,17242,,melenkovskii-raion
Суражский район,Брянская область,15254,,surazhskii-raion
Волховский район,Ленинградская область,41209,Волховский район,volkhovskii-raion
Родниковский район,Ивановская область,24223,,rodnikovskii-raion
Пучежский район,Ивановская область,24221,,puchezhskii-raion
Калачевский,Волгоградская область,18216,Калачёвский район,kalachevskii
Иловлинский,Волгоградская область,18214,Иловлинский район,ilovlinskii
Рассказовский район,Тамбовская область,68228,Рассказовский район,rasskazovskii-raion
Митино,Москва,45283559,Москва,mitino
Пичаевский район,Тамбовская область,68226,Пичаевский район,pichaevskii-raion
Химки,Московская область,46483,Химки,khimki
Ржевский район,Тверская область,28248,Ржевский район,rzhevskii-raion
Любимский район,Ярославская область,78218,Любимский район,liubimskii-raion
Арсеньевский район,Тульская область,70204,Арсеньевский район,arsenevskii-raion
Нестеровский район,Калининградская область,27224,,nesterovskii-raion
Терновский район,Воронежская область,20254,Терновский район,ternovskii-raion
Неманский район,Калининградская область,27221,,nemanskii-raion
Старицкий район,Тверская область,28253,Старицкий район,staritskii-raion
Починсковский район,Смоленская область,66233,,pochinskovskii-raion
Одоевский район,Тульская область,70236,Одоевский район,odoevskii-raion
Ельнинский район,Смоленская область,66219,,elninskii-raion
Всеволожский район,Ленинградская область,41212,Всеволожский район,vsevolozhskii-raion
Скопинский район,Рязанская область,61244,,skopinskii-raion
Таловский район,Воронежская область,20251,Таловский район,talovskii-raion
Сасовский район,Рязанская область,61242,,sasovskii-raion
Белоозерский район,Курганская область,37204,Белозерский район,beloozerskii-raion
Покровский район,Орловская область,54250,,pokrovskii-raion
Свердловский район,Орловская область,54252,,sverdlovskii-raion
Нюксенский район,Вологодская область,19236,,niuksenskii-raion
Никольский район,Вологодская область,19234,,nikolskii-raion-avz
Суджанский район,Курская область,38240,,sudzhanskii-raion
Солнцевский район,Курская область,38238,,solntsevskii-raion
Пинежский район,Архангельская область,11248,,pinezhskii-raion
Верхнетоемский район,Архангельская область,11208,,verkhnetoemskii-raion
Сегежский район,Республика Карелия,86245,,segezhskii-raion
Североморск,Мурманская область,47530,,severomorsk
Александровск,Мурманская область,475551,,aleksandrovsk
Калининский район,Санкт-Петербург,40273,,kalininskii-raion-7tj
Приморский район,Санкт-Петербург,40270,,primorskii-raion
Дновский район,Псковская область,58212,,dnovskii-raion
Дедовичский район,Псковская область,58210,,dedovichskii-raion
Демянский район,Новгородская область,49212,,demianskii-raion
Волотовский район,Новгородская область,49210,,volotovskii-raion
Пильнинский район,Нижегородская область,22245,,pilninskii-raion
Перевозский район,Нижегородская область,22244,,perevozskii-raion
Мурашинский район,Кировская область,33224,,murashinskii-raion
Малмыжский район,Кировская область,33223,,malmyzhskii-raion
Суксунский район,Пермский край,85995,,suksunskii-raion
Соликамский район,Пермский край,85992,,solikamskii-raion
Аргаяшский район,Челябинская область,75206,,argaiashskii-raion
Кыштым,Челябинская область,75428,,kyshtym
Крымский район,Краснодарский край,3225,,krymskii-raion
Анапа,Краснодарский край,3403,,anapa
Кировский,Республика Крым,8104,,kirovskii-bs6
Джанкойский,Республика Крым,8103,,dzhankoiskii
Тобольск,Тюменская область,71410,,tobolsk
Екатеринбург,Свердловская область,654011,,ekaterinburg
Тугулымский р-н,Свердловская область,652501,,tugulymskii-r-n
Альменевский район,Курганская область,37202,,almenevskii-raion
Ершовский район,Саратовская область,63217,,ershovskii-raion
Екатериновский район,Саратовская область,63216,,ekaterinovskii-raion
Новоульяновск,Ульяновская область,73415,,novoulianovsk
Богатовский район,Самарская область,36206,,bogatovskii-raion
Суземский район,Брянская область,15252,,suzemskii-raion
Безенчукский район,Самарская область,36204,,bezenchukskii-raion
Тарусский район,Калужская область,29238,,tarusskii-raion
Белинский район,Пензенская область,56212,,belinskii-raion
Семилукский район,Воронежская область,20249,,semilukskii-raion
Бековский район,Пензенская область,56209,,bekovskii-raion
Камешковский район,Владимирская область,17225,,kameshkovskii-raion
Таттинскийрайон,Республика Саха (Якутия),98204,,tattinskiiraion
Стародубский район,Брянская область,15250,,starodubskii-raion
Чурапчинский район,Республика Саха (Якутия),98258,,churapchinskii-raion
Россошанский район,Воронежская область,20247,,rossoshanskii-raion
Иркутский район,Иркутская область,25212,,irkutskii-raion
Гороховецкий район,Владимирская область,17215,,gorokhovetskii-raion
Усольский район,Иркутская область,25240,,usolskii-raion-gwl
Приволжский район,Ивановская область,24220,,privolzhskii-raion-fup
Ирбейский район,Красноярский край,4219,,irbeiskii-raion
Пестяковский район,Ивановская область,24219,,pestiakovskii-raion
Идринский район,Красноярский край,4217,,idrinskii-raion
Катайский район,Курганская область,37212,Катайский район,kataiskii-raion
Одесский район,Омская область,52242,,odesskii-raion
Задонский район,Липецкая область,2553600,Задонский район,zadonskii-raion
Павлоградский район,Омская область,52246,,pavlogradskii-raion
Куркино,Москва,45283555,Москва,kurkino
Обь,Новосибирская область,50417,,ob
Усть-Вымский район,Республика Коми,87244,Усть-Вымский район,ust-vymskii-raion
Бердск,Новосибирская область,50408,,berdsk
Серпухов,Московская область,46470,Серпухов,serpukhov
Белока-литвенский район,Ростовская область,60206,,beloka-litvenskii-raion
Даниловский район,Ярославская область,78215,Даниловский район,danilovskii-raion
Багаевский район,Ростовская область,60205,,bagaevskii-raion
Богородицкий район,Тульская область,70208,Богородицкий район,bogoroditskii-raion
Балтачевский,Республика Башкортостан,80208,,baltachevskii
Бакалинский,Республика Башкортостан,80207,,bakalinskii
Кизляр,Республика Дагестан,82430,,kizliar
Хасавюрт,Республика Дагестан,82435,,khasaviurt
Борзинский район,Забайкальский край,76209,,borzinskii-raion
Балейский район,Забайкальский край,76206,,baleiskii-raion
Зональный район,Алтайский край,12291,,zonalnyi-raion
Новичихинский район,Алтайский край,12281,,novichikhinskii-raion
Октябрьский,Оренбургская область,53233,,oktiabrskii-pvv
Новосергиевский,Оренбургская область,53231,,novosergievskii
Кадыйский район,Костромская область,34210,,kadyiskii-raion
Антроповский район,Костромская область,34202,,antropovskii-raion
Краснознаменский район,Калининградская область,27218,,krasnoznamenskii-raion
Зеленоградский район,Калининградская область,27215,,zelenogradskii-raion
Глинковский район,Смоленская область,66209,,glinkovskii-raion
Монастырщинский район,Смоленская область,66227,,monastyrshchinskii-raion
Сараевский район,Рязанская область,61240,,saraevskii-raion
Сапожковский район,Рязанская область,61237,,sapozhkovskii-raion
Верховский район,Орловская область,54208,,verkhovskii-raion
Краснозоренский район,Орловская область,54224,,krasnozorenskii-raion
Рошаль,Московская область,46465,,roshal
Междуреченский район,Вологодская область,19232,,mezhdurechenskii-raion
Кичменгско-Городецкий район,Вологодская область,19230,,kichmengsko-gorodetskii-raion
Крюково,Москва,45272580,,kriukovo
Совесткий район,Курская область,38236,,sovestkii-raion
Рыльский район,Курская область,38234,,rylskii-raion
Виноградовский район,Архангельская область,11214,,vinogradovskii-raion
Шенкурский район,Архангельская область,11258,,shenkurskii-raion
Прионежский район,Республика Карелия,86236,,prionezhskii-raion
Питкярантский район,Республика Карелия,86233,,pitkiarantskii-raion
Тутаевский район,Ярославская область,78243,,tutaevskii-raion
Куркинский район,Тульская область,70230,,kurkinskii-raion
Селижаровский район,Тверская область,28250,,selizharovskii-raion
Кольский район,Мурманская область,47205,,kolskii-raion
пос. Видяево,Мурманская область,47555,,pos-vidiaevo
Выборгский район,Санкт-Петербург,40265,,vyborgskii-raion-msh
Василеостровский район,Санкт-Петербург,40263,,vasileostrovskii-raion
Волосовский район,Ленинградская область,41206,,volosovskii-raion
Бокситогорский район,Ленинградская область,41203,,boksitogorskii-raion
Гдовский район,Псковская область,58208,,gdovskii-raion
Плюсский район,Псковская область,58243,,pliusskii-raion
Валдайский район,Новгородская область,49208,,valdaiskii-raion
Боровичский район,Новгородская область,49206,,borovichskii-raion
Первомайский район,Нижегородская область,22243,,pervomaiskii-raion-hqb
Севский район,Брянская область,15248,,sevskii-raion
Павловский район,Нижегородская область,22242,,pavlovskii-raion-kbc
Спас-Деменский район,Калужская область,29234,,spas-demenskii-raion
Лузский район,Кировская область,33222,,luzskii-raion
Репьевский район,Воронежская область,20245,,repevskii-raion
Лебяжский район,Кировская область,33221,,lebiazhskii-raion
Александровский район,Владимирская область,17205,,aleksandrovskii-raion-90p
Сивинский район,Пермский край,85989,,sivinskii-raion
Рогнединский район,Брянская область,15246,,rognedinskii-raion
Пермский район,Пермский край,85986,,permskii-raion
Рамонский район,Воронежская область,20243,,ramonskii-raion
Первомайский район,Тамбовская область,68222,Первомайский район,pervomaiskii-raion-4c8
Кольчугинский район,Владимирская область,17240,,kolchuginskii-raion
Чаплыгинский район,Липецкая область,2553900,Чаплыгинский район,chaplyginskii-raion
Палехский район,Ивановская область,24217,,palekhskii-raion
Каслинский район,Челябинская область,75226,,kaslinskii-raion
Лухский район,Ивановская область,24215,,lukhskii-raion
Челябинск,Челябинская область,75558,,cheliabinsk
Жирновский,Волгоградская область,18212,Жирновский район,zhirnovskii
Темрюкский район,Краснодарский край,3251,,temriukskii-raion
Еланский,Волгоградская область,18210,Еланский район,elanskii
Гулькевичский район,Краснодарский край,3213,,gulkevichskii-raion
Белогорский,Республика Крым,8102,,belogorskii
Бахчисарайский район,Республика Крым,8101,,bakhchisaraiskii-raion
Талицкий,Свердловская область,652491,,talitskii
Сухой Лог,Свердловская область,652401,,sukhoi-log
Шабринск,Курганская область,37405,,shabrinsk
Курган,Курганская область,37401,,kurgan
Духовницкий район,Саратовская область,63214,,dukhovnitskii-raion
Дергачевский район,Саратовская область,63213,,dergachevskii-raion
Алексеевский район,Самарская область,36202,,alekseevskii-raion-0mn
Ставропольский район,Самарская область,36240,,stavropolskii-raion
Башмаковский район,Пензенская область,56203,,bashmakovskii-raion
Сердобский район,Пензенская область,56256,,serdobskii-raion
Нерюнгринский район,Республика Саха (Якутия),98111,,neriungrinskii-raion
Амгинский район,Республика Саха (Якутия),98208,,amginskii-raion
Черемховский район,Иркутская область,25248,,cheremkhovskii-raion
Зиминский район,Иркутская область,25210,,ziminskii-raion
Иланский район,Красноярский край,4218,,ilanskii-raion
Ермаковский район,Красноярский край,4216,,ermakovskii-raion
Новосибирск,Новосибирская область,50401,,novosibirsk
Неклиновский район,Ростовская область,60236,,neklinovskii-raion
Азовский район,Ростовская область,60201,,azovskii-raion
Баймакский,Республика Башкортостан,80206,,baimakskii
Аургазинский,Республика Башкортостан,80205,,aurgazinskii
Кизилюрт,Республика Дагестан,82425,,kiziliurt
Буйнакск,Республика Дагестан,82405,,buinaksk
Чита,Забайкальский край,76401,,chita
пос. Горный,Забайкальский край,76585,,pos-gornyi
Михайловский район,Алтайский край,12271,,mikhailovskii-raion-qyv
Мамонтовский район,Алтайский край,12261,,mamontovskii-raion
Матвеевский,Оренбургская область,53227,,matveevskii
Курманаевский,Оренбургская область,53225,,kurmanaevskii
Макарьевский район,Костромская область,34218,,makarevskii-raion
Парфеньевский район,Костромская область,34234,,parfenevskii-raion
Гусевский район,Калининградская область,27212,,gusevskii-raion
Гурьевский район,Калининградская область,27209,,gurevskii-raion-ml5
Краснинский район,Смоленская область,66224,,krasninskii-raion
Угранский район,Смоленская область,66250,,ugranskii-raion
Ряжский район,Рязанская область,61230,,riazhskii-raion
Рыбновский район,Рязанская область,61227,,rybnovskii-raion
Новодеревеньковский район,Орловская область,54239,,novoderevenkovskii-raion
Шаблыкинский район,Орловская область,54259,,shablykinskii-raion
Реутов,Московская область,46464,,reutov
Пущино,Московская область,46462,,pushchino
Кирилловский район,Вологодская область,19228,,kirillovskii-raion
Кадуйский район,Вологодская область,19226,,kaduiskii-raion
Старое Крюково,Москва,45272576,,staroe-kriukovo
Силино,Москва,45272572,,silino
Пристенский район,Курская область,38232,,pristenskii-raion
Поныровский район,Курская область,38230,,ponyrovskii-raion
Лешуконский район,Архангельская область,11238,,leshukonskii-raion
Новая Земля,Архангельская область,11243,,novaia-zemlia
Сысольский район,Республика Коми,87232,,sysolskii-raion
Прилузский район,Республика Коми,87224,,priluzskii-raion
Кемский район,Республика Карелия,86212,,kemskii-raion
Кондопожский район,Республика Карелия,86215,,kondopozhskii-raion
Гаврилов-Ямский район,Ярославская область,78212,,gavrilov-iamskii-raion
Почепский район,Брянская область,15244,,pochepskii-raion
Некрасовский район,Ярославская область,78226,,nekrasovskii-raion
Мосальский район,Калужская область,29229,,mosalskii-raion
Плавский район,Тульская область,70238,,plavskii-raion
Подгоренский район,Воронежская область,20241,,podgorenskii-raion
Чернский район,Тульская область,70246,,chernskii-raion
Собинский район,Владимирская область,17250,,sobinskii-raion
Фировский район,Тверская область,28257,,firovskii-raion
Погарский район,Брянская область,15242,,pogarskii-raion
Кувшиновский район,Тверская область,28234,,kuvshinovskii-raion
Дубовский,Волгоградская область,18208,Дубовский район,dubovskii
Заозерск,Мурманская область,47533,,zaozersk
Адмиралтейский район,Санкт-Петербург,40262,,admiralteiskii-raion
Сосновоборгский,Ленинградская область,41454,,sosnovoborgskii
Струго-Красненский район,Псковская область,58256,,strugo-krasnenskii-raion
Печорский район,Псковская область,58240,,pechorskii-raion-fco
Батецкий район,Новгородская область,49203,,batetskii-raion
Новгородский район,Новгородская область,49225,,novgorodskii-raion
Навашинский район,Нижегородская область,22241,,navashinskii-raion
Лысковский район,Нижегородская область,22240,,lyskovskii-raion
Куменский район,Кировская область,33220,,kumenskii-raion
Кильмезский район,Кировская область,33217,,kilmezskii-raion
Краснокамский район,Пермский край,86034,,krasnokamskii-raion
Очерский район,Пермский край,85983,,ocherskii-raion
Сосновский  район,Челябинская область,75252,,sosnovskii-raion-nsd
Чебаркульский район,Челябинская область,75257,,chebarkulskii-raion
Кавказский район,Краснодарский край,3218,,kavkazskii-raion
Тбилисский район,Краснодарский край,3249,,tbilisskii-raion
Режевской,Свердловская область,652361,,rezhevskoi
Пышминский р-н,Свердловская область,652331,,pyshminskii-r-n
Воскресенский район,Саратовская область,63212,,voskresenskii-raion
Балтайский район,Саратовская область,63209,,baltaiskii-raion
Волжский район,Самарская область,36214,,volzhskii-raion-qag
Кинель-Черкасский район,Самарская область,36220,,kinel-cherkasskii-raion
Кузнецкий район,Пензенская область,56240,,kuznetskii-raion
Каменский район,Пензенская область,56229,,kamenskii-raion
Хангаласский район,Республика Саха (Якутия),98244,,khangalasskii-raion
Братск,Иркутская область,25414,,bratsk
Иркутск,Иркутская область,25401,,irkutsk
Дзержинский район,Красноярский край,4213,,dzerzhinskii-raion
Большеулуйский район,Красноярский край,4211,,bolsheuluiskii-raion
Аксайский район,Ростовская область,60202,,aksaiskii-raion
Октябрьский район,Ростовская область,60241,,oktiabrskii-raion-dlw
Аскинский,Республика Башкортостан,80204,,askinskii
Архангельский,Республика Башкортостан,80203,,arkhangelskii
Каспийск,Республика Дагестан,82420,,kaspiisk
Избербаш,Республика Дагестан,82415,,izberbash
Локтевский район,Алтайский край,12251,,loktevskii-raion
Кытмановский район,Алтайский край,12241,,kytmanovskii-raion
Красно-гвардейский,Оренбургская область,53223,,krasno-gvardeiskii
Кваркенский,Оренбургская область,53222,,kvarkenskii
Кологривский район,Костромская область,34212,,kologrivskii-raion
Межевской район,Костромская область,34222,,mezhevskoi-raion
Мучкапский район,Тамбовская область,68218,,muchkapskii-raion
Мордовский район,Тамбовская область,68214,,mordovskii-raion
Лежневский район,Ивановская область,24214,,lezhnevskii-raion
Комсомольский район,Ивановская область,24213,,komsomolskii-raion-29i
Поворинский район,Воронежская область,20239,,povorinskii-raion
Вязниковский район,Владимирская область,17210,,viaznikovskii-raion
Гвардейский район,Калининградская область,27206,,gvardeiskii-raion
Багратионовский район,Калининградская область,27203,,bagrationovskii-raion
Вяземский район,Смоленская область,66205,,viazemskii-raion-bsf
Темкинский район,Смоленская область,66248,,temkinskii-raion
Путятинский район,Рязанская область,61226,,putiatinskii-raion
Пронский район,Рязанская область,61225,,pronskii-raion
Сосковский район,Орловская область,54253,,soskovskii-raion
Кромской район,Орловская область,54225,,kromskoi-raion
Протвино,Московская область,46467,,protvino
Подольск,Московская область,46460,,podolsk
Грязовецкий район,Вологодская область,19224,,griazovetskii-raion
Вытегорский район,Вологодская область,19222,,vytegorskii-raion
Савёлки,Москва,45272568,,saviolki
Матушкино,Москва,45272562,,matushkino
Лебедянский район,Липецкая область,2553690,,lebedianskii-raion
Данковский район,Липецкая область,2553480,,dankovskii-raion
Октябрьский район,Курская область,38228,,oktiabrskii-raion-cap
Обоянский район,Курская область,38226,,oboianskii-raion
Приморский район,Архангельская область,11252,,primorskii-raion-lhf
Мещовский район,Калужская область,29227,,meshchovskii-raion
Плесецкий район,Архангельская область,11250,,plesetskii-raion
Быковский,Волгоградская область,18204,Быковский район,bykovskii
Койгородский район,Республика Коми,87212,,koigorodskii-raion
Сыктывдинский район,Республика Коми,87228,,syktyvdinskii-raion
Петрозаводск,Республика Карелия,86401,,petrozavodsk
Большесельский район,Ярославская область,78203,,bolsheselskii-raion
Переславский район,Ярославская область,78232,,pereslavskii-raion
Каменский район,Тульская область,70224,,kamenskii-raion-jff
Белевский район,Тульская область,70206,,belevskii-raion
Удомельский район,Тверская область,28256,,udomelskii-raion
Максатихинский район,Тверская область,28240,,maksatikhinskii-raion
Палкинский район,Псковская область,58237,,palkinskii-raion
Великолукский район,Псковская область,58206,,velikolukskii-raion
Великий Новгород,Новгородская область,49401,,velikii-novgorod
Лукояновский район,Нижегородская область,22239,,lukoianovskii-raion
Кулебакский район,Нижегородская область,22238,,kulebakskii-raion
Кикнурский район,Кировская область,33216,,kiknurskii-raion
Зуевский район,Кировская область,33214,,zuevskii-raion
Оханский район,Пермский край,85980,,okhanskii-raion
Осинский район,Пермский край,85977,,osinskii-raion-yew
Катав-Ивановский район,Челябинская область,75229,,katav-ivanovskii-raion
Увельский район,Челябинская область,75255,,uvelskii-raion
Усть-Лабинский район,Краснодарский край,3257,,ust-labinskii-raion
Динской район,Краснодарский край,3214,,dinskoi-raion
Красноуфимский р-н,Свердловская область,652241,,krasnoufimskii-r-n
Богданович,Свердловская область,652101,,bogdanovich
Балашовский район,Саратовская область,63208,,balashovskii-raion
Базарно-Карабулакский район,Саратовская область,63206,,bazarno-karabulakskii-raion
Самара,Самарская область,36401,,samara
Тольятти,Самарская область,36440,,toliatti
Бессоновский район,Пензенская область,56213,,bessonovskii-raion
Заречный,Пензенская область,56534,,zarechnyi-608
Усть-Илимск,Иркутская область,25438,,ust-ilimsk
Усолье-Сибирское,Иркутская область,25436,,usole-sibirskoe
Большемуртинский район,Красноярский край,4210,,bolshemurtinskii-raion
Богучанский район,Красноярский край,4209,,boguchanskii-raion
Красносулинский район,Ростовская область,60226,,krasnosulinskii-raion
Каменский район,Ростовская область,60223,,kamenskii-raion-tss
Алышеевский,Республика Башкортостан,80202,,alysheevskii
Абзелиловский,Республика Башкортостан,80201,,abzelilovskii
Дагестанские Огни,Республика Дагестан,82408,,dagestanskie-ogni
Дербент,Республика Дагестан,82410,,derbent
Курьинский район,Алтайский край,12231,,kurinskii-raion
Кулундинский район,Алтайский край,12221,,kulundinskii-raion
Илекский,Оренбургская область,53219,,ilekskii
Домбаровский,Оренбургская область,53217,,dombarovskii
Пыщугский район,Костромская область,34238,,pyshchugskii-raion
Поназыревский район,Костромская область,34236,,ponazyrevskii-raion
Кирсановский район,Тамбовская область,68210,,kirsanovskii-raion
Инжавинский район,Тамбовская область,68208,,inzhavinskii-raion
Медынский район,Калужская область,29225,,medynskii-raion
Ильинский район,Ивановская область,24209,,ilinskii-raion
Заволжский район,Ивановская область,24205,,zavolzhskii-raion
Петропавловский район,Воронежская область,20237,,petropavlovskii-raion-vyq
Панинский район,Воронежская область,20235,,paninskii-raion
Владимир,Владимирская область,17401,,vladimir
Суздальский район,Владимирская область,17254,,suzdalskii-raion
Новозыбковский район,Брянская область,15240,,novozybkovskii-raion
Навлинский район,Брянская область,15238,,navlinskii-raion
Мамоново,Калининградская область,27203510,,mamonovo
Гагаринский район,Смоленская область,66208,,gagarinskii-raion
Новодугинский район,Смоленская область,66246,,novoduginskii-raion
Пителинский район,Рязанская область,61223,,pitelinskii-raion
Александро-Невский район,Рязанская область,61220,,aleksandro-nevskii-raion
Хотынецкий район,Орловская область,54257,,khotynetskii-raion
Урицкий район,Орловская область,54255,,uritskii-raion
Орехово-Зуево,Московская область,46457,,orekhovo-zuevo
Лыткарино,Московская область,46441,,lytkarino
Вожегодский район,Вологодская область,19218,,vozhegodskii-raion
Верховажский район,Вологодская область,19216,,verkhovazhskii-raion
Хорошевский,Москва,45277598,,khoroshevskii
Ховрино,Москва,45277595,,khovrino
Измалковский район,Липецкая область,2553630,,izmalkovskii-raion
Становлянский район,Липецкая область,2553780,,stanovlianskii-raion
Медвеньский район,Курская область,38224,,medvenskii-raion
Мантуровский район,Курская область,38223,,manturovskii-raion
Котласский район,Архангельская область,11227,,kotlasskii-raion
Новодвинск,Архангельская область,11415,,novodvinsk
Сыктывкар,Республика Коми,87401,,syktyvkar
Ярославский район,Ярославская область,78250,,iaroslavskii-raion
Рыбинский район,Ярославская область,78240,,rybinskii-raion-v9k
Воловский район,Тульская область,70216,,volovskii-raion-f8u
Ефремовский район,Тульская область,70220,,efremovskii-raion
Бежецкий район,Тверская область,28204,,bezhetskii-raion
Лесной район,Тверская область,28236,,lesnoi-raion
Псковский район,Псковская область,58249,,pskovskii-raion
Великие Луки,Псковская область,58410,,velikie-luki
Кстовский район,Нижегородская область,22237,,kstovskii-raion
Краснооктябрьский район,Нижегородская область,22236,,krasnooktiabrskii-raion
Даровской район,Кировская область,33212,,darovskoi-raion
Верхошижемский район,Кировская область,33208,,verkhoshizhemskii-raion
Ординский район,Пермский край,85974,,ordinskii-raion
Октябрьский район,Пермский край,85971,,oktiabrskii-raion-mo2
Троичкий район,Челябинская область,75254,,troichkii-raion
Агаповский район,Челябинская область,75203,,agapovskii-raion
Кореновский район,Краснодарский край,3221,,korenovskii-raion
Тимашевский район,Краснодарский край,3253,,timashevskii-raion
Ачитский,Свердловская область,652041,,achitskii
Артинский,Свердловская область,652031,,artinskii
Аткарский район,Саратовская область,63204,,atkarskii-raion
Аркадакский район,Саратовская область,63203,,arkadakskii-raion
Новокуйбышевск,Самарская область,36413,,novokuibyshevsk
Чапаевск,Самарская область,36450,,chapaevsk
Кузнецк,Пензенская область,56405,,kuznetsk
Саянск,Иркутская область,25426,,saiansk
Бирилюсский район,Красноярский край,4206,,biriliusskii-raion
Берёзовский район,Красноярский край,4205,,beriozovskii-raion
Волгодонский район,Ростовская область,60212,,volgodonskii-raion
Шахты,Ростовская область,60440,,shakhty
Уфимский,Республика Башкортостан,80252,,ufimskii
Сибай,Республика Башкортостан,80443,,sibai
Крутихинский район,Алтайский край,12211,,krutikhinskii-raion
Краснощековский район,Алтайский край,12201,,krasnoshchekovskii-raion
Грачевский,Оренбургская область,53215,,grachevskii
Беляевский,Оренбургская область,53210,,beliaevskii
Павинский район,Костромская область,34232,,pavinskii-raion
Вохомский район,Костромская область,34206,,vokhomskii-raion
Знаменский район,Тамбовская область,68206,,znamenskii-raion-hzh
Жердевский район,Тамбовская область,68204,,zherdevskii-raion
Малоярославецкий район,Калужская область,29223,,maloiaroslavetskii-raion
Людиновский район,Калужская область,29220,,liudinovskii-raion
Гаврилово-Посадский район,Ивановская область,24203,,gavrilovo-posadskii-raion
Верхне-Ландеховский район,Ивановская область,24202,,verkhne-landekhovskii-raion
Павловский район,Воронежская область,20233,,pavlovskii-raion-vk0
Острогожский район,Воронежская область,20231,,ostrogozhskii-raion
Судогодский район,Владимирская область,17252,,sudogodskii-raion
Гусь-Хрустальный район,Владимирская область,17220,,gus-khrustalnyi-raion
Мглинский район,Брянская область,15236,,mglinskii-raion
Красногорский район,Брянская область,15234,,krasnogorskii-raion-azr
Холм-Жирковский район,Смоленская область,66238,,kholm-zhirkovskii-raion
