name,parent_region__name,gibdd_code,ya_name,slug
Ахтынский район,Республика Дагестан,82206,Ахтынский район,akhtynskii-raion
Ачхой-Мартановский район,Чеченская Республика,96001,Ачхой-Мартановский район,achkhoi-martanovskii-raion
Ростов-на-Дону,Ростовская область,60401,Ростов-на-Дону,rostov-na-donu
Малокарачаевский район,Карачаево-Черкесская Республика,91220,Малокарачаевский район,malokarachaevskii-raion
Урванский район,Кабардино-Балкарская Республика,83220,Урванский район,urvanskii-raion
Курский район,Ставропольский край,7233,Курский муниципальный округ,kurskii-raion
Курахский район,Республика Дагестан,82230,Курахский район,kurakhskii-raion
Зеленчукский район,Карачаево-Черкесская Республика,91210,Зеленчукский район,zelenchukskii-raion
Туймазинский,Республика Башкортостан,80251,Туймазинский район,tuimazinskii
Чегемский район,Кабардино-Балкарская Республика,83218,Чегемский район,chegemskii-raion
Нефтекумский район,Ставропольский край,7241,Нефтекумский городской округ,neftekumskii-raion
Надтеречный район,Чеченская Республика,96007,Надтеречный район,nadterechnyi-raion
Лениногорский район,Республика Татарстан (Татарстан),92236,Лениногорский район,leninogorskii-raion
Стерлитамакский,Республика Башкортостан,80249,Стерлитамакский район,sterlitamakskii
Левокумский район,Ставропольский край,7236,Левокумский муниципальный округ,levokumskii-raion
Абазинский район,Карачаево-Черкесская Республика,91201,Абазинский район,abazinskii-raion
Кукморский район,Республика Татарстан (Татарстан),92233,Кукморский район,kukmorskii-raion
Стерлибашевский,Республика Башкортостан,80248,Стерлибашевский район,sterlibashevskii
Волжский район,Республика Марий Эл,88204,Волжский район,volzhskii-raion
Кайбицкий район,Республика Татарстан (Татарстан),92229,Кайбицкий район,kaibitskii-raion
Красногвардейский район,Ставропольский край,7230,Красногвардейский муниципальный округ,krasnogvardeiskii-raion
Заинский район,Республика Татарстан (Татарстан),92227,Заинский район,zainskii-raion
Кадошкинский район,Республика Мордовия,89228,Кадошкинский район,kadoshkinskii-raion
Горномарийский район,Республика Марий Эл,88208,Горномарийский район,gornomariiskii-raion
Игринский район,Удмуртская Республика,94218,Игринский район,igrinskii-raion
Волжск,Республика Марий Эл,88405,Волжск,volzhsk
Инсарский район,Республика Мордовия,89224,Инсарский район,insarskii-raion
Дебесский район,Удмуртская Республика,94214,Дебёсский район,debesskii-raion
Граховский район,Удмуртская Республика,94212,Граховский район,grakhovskii-raion
Алексеевский район,Белгородская область,14205,Алексеевский городской округ,alekseevskii-raion
Канаш,Чувашская Республика - Чувашия,97407,,kanash
Новочебоксарск,Чувашская Республика - Чувашия,97410,,novocheboksarsk
Приморский край,,5,Приморский край,primorskii-krai
Омская область,,52,Омская область,omskaia-oblast
Армавир,Краснодарский край,3405,,armavir
Чаинский,Томская область,69256,Чаинский район,chainskii
